id|label|vocoder|language|speaker
/InTheWild/train/wav/17964.wav|fake||English|unknown
/InTheWild/eval/wav/4515.wav|real|real|English|unknown
/InTheWild/dev/wav/23908.wav|fake||English|unknown
/InTheWild/dev/wav/11742.wav|real|real|English|unknown
/InTheWild/eval/wav/17999.wav|real|real|English|unknown
/InTheWild/train/wav/5346.wav|real|real|English|unknown
/InTheWild/train/wav/3262.wav|fake||English|unknown
/InTheWild/train/wav/27925.wav|fake||English|unknown
/InTheWild/train/wav/31225.wav|real|real|English|unknown
/InTheWild/train/wav/31130.wav|fake||English|unknown
/InTheWild/dev/wav/29056.wav|real|real|English|unknown
/InTheWild/train/wav/27896.wav|fake||English|unknown
/InTheWild/train/wav/12899.wav|real|real|English|unknown
/InTheWild/dev/wav/6190.wav|real|real|English|unknown
/InTheWild/train/wav/29598.wav|real|real|English|unknown
/InTheWild/dev/wav/1409.wav|real|real|English|unknown
/InTheWild/dev/wav/7144.wav|fake||English|unknown
/InTheWild/train/wav/5592.wav|real|real|English|unknown
/InTheWild/eval/wav/1472.wav|real|real|English|unknown
/InTheWild/dev/wav/5136.wav|real|real|English|unknown
/InTheWild/eval/wav/30137.wav|fake||English|unknown
/InTheWild/eval/wav/28019.wav|fake||English|unknown
/InTheWild/dev/wav/9752.wav|real|real|English|unknown
/InTheWild/dev/wav/23974.wav|real|real|English|unknown
/InTheWild/train/wav/11482.wav|real|real|English|unknown
/InTheWild/dev/wav/28454.wav|fake||English|unknown
/InTheWild/eval/wav/16917.wav|fake||English|unknown
/InTheWild/dev/wav/6341.wav|fake||English|unknown
/InTheWild/dev/wav/2355.wav|real|real|English|unknown
/InTheWild/eval/wav/8947.wav|fake||English|unknown
/InTheWild/train/wav/6671.wav|fake||English|unknown
/InTheWild/train/wav/3876.wav|real|real|English|unknown
/InTheWild/train/wav/20059.wav|fake||English|unknown
/InTheWild/train/wav/19731.wav|real|real|English|unknown
/InTheWild/eval/wav/31707.wav|fake||English|unknown
/InTheWild/train/wav/24694.wav|fake||English|unknown
/InTheWild/train/wav/29916.wav|fake||English|unknown
/InTheWild/eval/wav/30177.wav|real|real|English|unknown
/InTheWild/eval/wav/28205.wav|real|real|English|unknown
/InTheWild/train/wav/15058.wav|real|real|English|unknown
/InTheWild/train/wav/8852.wav|real|real|English|unknown
/InTheWild/train/wav/14677.wav|fake||English|unknown
/InTheWild/train/wav/26065.wav|fake||English|unknown
/InTheWild/eval/wav/925.wav|real|real|English|unknown
/InTheWild/eval/wav/11430.wav|fake||English|unknown
/InTheWild/dev/wav/22830.wav|real|real|English|unknown
/InTheWild/train/wav/8240.wav|real|real|English|unknown
/InTheWild/eval/wav/14786.wav|real|real|English|unknown
/InTheWild/eval/wav/22965.wav|fake||English|unknown
/InTheWild/eval/wav/18899.wav|real|real|English|unknown
/InTheWild/train/wav/31077.wav|fake||English|unknown
/InTheWild/train/wav/17520.wav|real|real|English|unknown
/InTheWild/train/wav/11196.wav|fake||English|unknown
/InTheWild/train/wav/8474.wav|real|real|English|unknown
/InTheWild/train/wav/16580.wav|fake||English|unknown
/InTheWild/dev/wav/9512.wav|real|real|English|unknown
/InTheWild/train/wav/16029.wav|real|real|English|unknown
/InTheWild/eval/wav/6725.wav|fake||English|unknown
/InTheWild/eval/wav/21557.wav|real|real|English|unknown
/InTheWild/eval/wav/20408.wav|fake||English|unknown
/InTheWild/train/wav/9981.wav|fake||English|unknown
/InTheWild/dev/wav/19942.wav|fake||English|unknown
/InTheWild/dev/wav/17581.wav|real|real|English|unknown
/InTheWild/train/wav/14837.wav|real|real|English|unknown
/InTheWild/train/wav/19687.wav|fake||English|unknown
/InTheWild/eval/wav/29500.wav|real|real|English|unknown
/InTheWild/eval/wav/4514.wav|fake||English|unknown
/InTheWild/dev/wav/25272.wav|real|real|English|unknown
/InTheWild/eval/wav/28926.wav|fake||English|unknown
/InTheWild/dev/wav/21100.wav|real|real|English|unknown
/InTheWild/dev/wav/3182.wav|real|real|English|unknown
/InTheWild/train/wav/25121.wav|fake||English|unknown
/InTheWild/dev/wav/4747.wav|real|real|English|unknown
/InTheWild/train/wav/5441.wav|real|real|English|unknown
/InTheWild/train/wav/7817.wav|real|real|English|unknown
/InTheWild/eval/wav/11689.wav|fake||English|unknown
/InTheWild/train/wav/71.wav|real|real|English|unknown
/InTheWild/dev/wav/8557.wav|real|real|English|unknown
/InTheWild/dev/wav/11325.wav|real|real|English|unknown
/InTheWild/dev/wav/1410.wav|fake||English|unknown
/InTheWild/dev/wav/6147.wav|real|real|English|unknown
/InTheWild/train/wav/16137.wav|real|real|English|unknown
/InTheWild/train/wav/7715.wav|real|real|English|unknown
/InTheWild/train/wav/14037.wav|real|real|English|unknown
/InTheWild/train/wav/7662.wav|real|real|English|unknown
/InTheWild/train/wav/17238.wav|fake||English|unknown
/InTheWild/train/wav/29043.wav|real|real|English|unknown
/InTheWild/eval/wav/29345.wav|real|real|English|unknown
