id|label|vocoder|language|speaker
/CFAD/train/wav/SSB00110017_wavenet.wav|fake|wavenet|Chinese|unknown
/CFAD/train/wav/SSB03070006_wavenet.wav|fake|wavenet|Chinese|unknown
/CFAD/train/wav/SSB03390072_wavenet.wav|fake|wavenet|Chinese|unknown
/CFAD/train/wav/SSB00380028_wavenet.wav|fake|wavenet|Chinese|unknown
/CFAD/train/wav/SSB00570084_wavenet.wav|fake|wavenet|Chinese|unknown
/CFAD/train/wav/SSB01930013_wavenet.wav|fake|wavenet|Chinese|unknown
/CFAD/train/wav/SSB00570075_wavenet.wav|fake|wavenet|Chinese|unknown
/CFAD/train/wav/SSB03150021_wavenet.wav|fake|wavenet|Chinese|unknown
/CFAD/train/wav/SSB00090007_wavenet.wav|fake|wavenet|Chinese|unknown
/CFAD/train/wav/SSB00800075_wavenet.wav|fake|wavenet|Chinese|unknown
/CFAD/train/wav/SSB01220085_wavenet.wav|fake|wavenet|Chinese|unknown
/CFAD/train/wav/SSB01330052_wavenet.wav|fake|wavenet|Chinese|unknown
/CFAD/train/wav/SSB01450084_wavenet.wav|fake|wavenet|Chinese|unknown
/CFAD/train/wav/SSB00180073_wavenet.wav|fake|wavenet|Chinese|unknown
/CFAD/train/wav/SSB00110023_wavenet.wav|fake|wavenet|Chinese|unknown
/CFAD/train/wav/SSB03160003_wavenet.wav|fake|wavenet|Chinese|unknown
/CFAD/train/wav/SSB02610067_wavenet.wav|fake|wavenet|Chinese|unknown
/CFAD/train/wav/SSB02730075_wavenet.wav|fake|wavenet|Chinese|unknown
/CFAD/train/wav/SSB02000030_wavenet.wav|fake|wavenet|Chinese|unknown
/CFAD/train/wav/SSB06860052_wavenet.wav|fake|wavenet|Chinese|unknown
/CFAD/train/wav/SSB01120030_wavenet.wav|fake|wavenet|Chinese|unknown
/CFAD/train/wav/SSB00160026_wavenet.wav|fake|wavenet|Chinese|unknown
/CFAD/train/wav/SSB00330076_wavenet.wav|fake|wavenet|Chinese|unknown
/CFAD/train/wav/SSB02460077_wavenet.wav|fake|wavenet|Chinese|unknown
/CFAD/train/wav/SSB03090024_wavenet.wav|fake|wavenet|Chinese|unknown
/CFAD/train/wav/SSB00180042_wavenet.wav|fake|wavenet|Chinese|unknown
/CFAD/train/wav/SSB03090032_wavenet.wav|fake|wavenet|Chinese|unknown
/CFAD/train/wav/SSB00160032_wavenet.wav|fake|wavenet|Chinese|unknown
/CFAD/train/wav/SSB03070077_wavenet.wav|fake|wavenet|Chinese|unknown
/CFAD/train/wav/SSB01120022_wavenet.wav|fake|wavenet|Chinese|unknown
/CFAD/train/wav/SSB01450012_wavenet.wav|fake|wavenet|Chinese|unknown
/CFAD/train/wav/SSB03420012_wavenet.wav|fake|wavenet|Chinese|unknown
/CFAD/train/wav/SSB00800024_wavenet.wav|fake|wavenet|Chinese|unknown
/CFAD/train/wav/SSB00570030_wavenet.wav|fake|wavenet|Chinese|unknown
/CFAD/train/wav/SSB03230026_wavenet.wav|fake|wavenet|Chinese|unknown
/CFAD/train/wav/SSB02610057_wavenet.wav|fake|wavenet|Chinese|unknown
/CFAD/train/wav/SSB03230025_wavenet.wav|fake|wavenet|Chinese|unknown
